Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,14,Aug,2019,2,4,09ag,09,ag,MU,4613460.149,413580.295,1.38,
RR,14,Aug,2019,3,5,09a,09,a,MU,4613460.522,413576.77,1.3,
RR,14,Aug,2019,5,8,04a,04,a,MU,4613461.305,413568.401,0.608,
RR,14,Aug,2019,6,9,04b,04,b,MU,4613460.701,413564.217,0.572,
RR,14,Aug,2019,11,18,09a,09,a,MU,4613432.749,413559.737,0.777,
RR,14,Aug,2019,18,31,04a,04,a,MU,4613481.232,413543.647,0.523,
RR,14,Aug,2019,21,57,04a,04,a,MU,4613468.871,413534.313,0.538,
RR,14,Aug,2019,25,66,05a,05,a,MU,4613453.525,413528.243,0.759,
RR,14,Aug,2019,26,67,04a,04,a,MU,4613455.487,413528.463,0.588,
RR,14,Aug,2019,29,72,09a,09,a,MU,4613475.778,413529.352,0.704,
RR,14,Aug,2019,31,84,09ai,09,ai,MU,4613512.856,413588.493,0.847,
RR,14,Aug,2019,32,89,10a,10,a,MU,4613527.044,413584.691,0.662,
RR,14,Aug,2019,33,90,01ae,01,ae,MU,4613529.197,413584.005,0.491,
RR,14,Aug,2019,37,99,02a,02,a,MU,4613532.771,413554.966,0.483,
RR,14,Aug,2019,40,105,33kg,33,kg,MU,4613545.43,413549.304,0.269,
RR,15,Aug,2019,44,113,32b,32,b,MU,4613893.733,413807.196,0.548,
RR,15,Aug,2019,51,151,11a,11,a,MU,4613887.473,413743.851,0.727,
RR,15,Aug,2019,53,154,03a,03,a,MU,4613881.33,413709.755,0.55,
RR,15,Aug,2019,56,159,32b,32,b,MU,4613878.964,413722.332,0.646,
RR,15,Aug,2019,57,160,32b,32,b,MU,4613877.186,413731.394,0.64,
RR,15,Aug,2019,70,189,03a,03,a,MU,4613777.349,413641.174,0.599,
RR,15,Aug,2019,75,201,04a,04,a,MU,4613773.574,413617.034,0.609,
RR,15,Aug,2019,76,202,03a,03,a,MU,4613774.288,413615.058,0.609,
RR,15,Aug,2019,77,203,33c,33,c,MU,4613775.341,413613.212,0.584,
RR,15,Aug,2019,79,206,06a,06,a,MU,4613789.655,413617.488,0.61,
RR,15,Aug,2019,80,207,04a,04,a,MU,4613791.685,413618.365,0.587,
RR,15,Aug,2019,89,228,04a,04,a,MU,4613865.272,413695.551,0.596,
RR,15,Aug,2019,98,273,05a,05,a,MU,4613988.376,413697.331,0.451,
RR,15,Aug,2019,100,276,33c,33,c,MU,4613904.984,413666.605,0.27,
RR,15,Aug,2019,101,290,10a,10,a,MU,4613525.105,413629.185,0.722,
RR,15,Aug,2019,102,291,01a,01,a,MU,4613644.898,413580.372,0.31,
RR,15,Aug,2019,106,298,01a,01,a,MU,4613653.574,413656.07,0.349,
RR,15,Aug,2019,108,301,01ae,01,ae,MU,4613689.22,413625.043,0.3,
RR,,,,109,302,22kr,22,kr,MU,4613505.107,413591.985,0.437,
RR,,,,110,303,22kr,22,kr,MU,4613509.455,413592.06,0.484,
RR,,,,112,309,22jr,22,jr,MU,4613567.895,413582.797,-0.208,
RR,,,,115,315,22gjr,22,gjr,MU,4613659.508,413571.806,-0.021,
RR,,,,117,319,22kr,22,kr,MU,4613637.073,413577.333,0.066,
RR,,,,119,323,22kr,22,kr,MU,4613585.258,413604.022,-0.083,
RR,,,,120,324,22jr,22,jr,MU,4613574.255,413606.295,0.031,
RR,,,,121,325,22k,22,k,MU,4613537.853,413591.074,0.343,
RR,,,,122,326,22k,22,k,MU,4613526.55,413597.099,0.253,
