RTCM0043,,4716750.341,353349.844,20.585
01,start crack,4724098.431,354727.936,0.893
02,crack,4724099.429,354727.696,0.916
03,crack,4724100.156,354727.330,0.960
04,crack,4724101.564,354727.060,0.957
05,crack,4724102.210,354727.119,0.883
06,crack end,4724102.940,354727.482,0.948
07,start crack 2,4724113.976,354691.498,0.941
08,crack 2,4724114.314,354690.603,0.987
09,crack 2,4724115.020,354689.439,1.019
10,crack 2,4724115.886,354688.464,1.098
11,crack 2,4724116.751,354687.731,1.144
12,crack 2,4724117.711,354687.249,0.983
13,crack 2,4724118.767,354687.082,0.921
14,crack 2,4724121.105,354686.242,0.958
15,crack 2,4724122.808,354685.933,1.053
16,crack 2,4724124.698,354686.261,1.050
17,crack 2,4724126.613,354687.331,0.963
18,crack 2,4724125.750,354687.978,0.835
19,hole,4724126.674,354688.942,0.673
20,crack 2,4724127.989,354689.426,0.861
21,crack 2 end,4724128.223,354691.031,0.892
